date,year,quarter,value
1956-01-01,1956,1,284.0
1956-04-01,1956,2,213.0
1956-07-01,1956,3,227.0
1956-10-01,1956,4,308.0
1957-01-01,1957,1,262.0
1957-04-01,1957,2,228.0
1957-07-01,1957,3,236.0
1957-10-01,1957,4,320.0
1958-01-01,1958,1,272.0
1958-04-01,1958,2,233.0
1958-07-01,1958,3,237.0
1958-10-01,1958,4,313.0
1959-01-01,1959,1,261.0
1959-04-01,1959,2,227.0
1959-07-01,1959,3,250.0
1959-10-01,1959,4,314.0
1960-01-01,1960,1,286.0
1960-04-01,1960,2,227.0
1960-07-01,1960,3,260.0
1960-10-01,1960,4,311.0
1961-01-01,1961,1,295.0
1961-04-01,1961,2,233.0
1961-07-01,1961,3,257.0
1961-10-01,1961,4,339.0
1962-01-01,1962,1,279.0
1962-04-01,1962,2,250.0
1962-07-01,1962,3,270.0
1962-10-01,1962,4,346.0
1963-01-01,1963,1,294.0
1963-04-01,1963,2,255.0
1963-07-01,1963,3,278.0
1963-10-01,1963,4,363.0
1964-01-01,1964,1,313.0
1964-04-01,1964,2,273.0
1964-07-01,1964,3,300.0
1964-10-01,1964,4,370.0
1965-01-01,1965,1,331.0
1965-04-01,1965,2,288.0
1965-07-01,1965,3,306.0
1965-10-01,1965,4,386.0
1966-01-01,1966,1,335.0
1966-04-01,1966,2,288.0
1966-07-01,1966,3,308.0
1966-10-01,1966,4,402.0
1967-01-01,1967,1,353.0
1967-04-01,1967,2,316.0
1967-07-01,1967,3,325.0
1967-10-01,1967,4,405.0
1968-01-01,1968,1,393.0
1968-04-01,1968,2,319.0
1968-07-01,1968,3,327.0
1968-10-01,1968,4,442.0
1969-01-01,1969,1,383.0
1969-04-01,1969,2,332.0
1969-07-01,1969,3,361.0
1969-10-01,1969,4,446.0
1970-01-01,1970,1,387.0
1970-04-01,1970,2,357.0
1970-07-01,1970,3,374.0
1970-10-01,1970,4,466.0
1971-01-01,1971,1,410.0
1971-04-01,1971,2,370.0
1971-07-01,1971,3,379.0
1971-10-01,1971,4,487.0
1972-01-01,1972,1,419.0
1972-04-01,1972,2,378.0
1972-07-01,1972,3,393.0
1972-10-01,1972,4,506.0
1973-01-01,1973,1,458.0
1973-04-01,1973,2,387.0
1973-07-01,1973,3,427.0
1973-10-01,1973,4,565.0
1974-01-01,1974,1,465.0
1974-04-01,1974,2,445.0
1974-07-01,1974,3,450.0
1974-10-01,1974,4,556.0
1975-01-01,1975,1,500.0
1975-04-01,1975,2,452.0
1975-07-01,1975,3,435.0
1975-10-01,1975,4,554.0
1976-01-01,1976,1,510.0
1976-04-01,1976,2,433.0
1976-07-01,1976,3,453.0
1976-10-01,1976,4,548.0
1977-01-01,1977,1,486.0
1977-04-01,1977,2,453.0
1977-07-01,1977,3,457.0
1977-10-01,1977,4,566.0
1978-01-01,1978,1,515.0
1978-04-01,1978,2,464.0
1978-07-01,1978,3,431.0
1978-10-01,1978,4,588.0
1979-01-01,1979,1,503.0
1979-04-01,1979,2,443.0
1979-07-01,1979,3,448.0
1979-10-01,1979,4,555.0
1980-01-01,1980,1,513.0
1980-04-01,1980,2,427.0
1980-07-01,1980,3,473.0
1980-10-01,1980,4,526.0
1981-01-01,1981,1,548.0
1981-04-01,1981,2,440.0
1981-07-01,1981,3,469.0
1981-10-01,1981,4,575.0
1982-01-01,1982,1,493.0
1982-04-01,1982,2,433.0
1982-07-01,1982,3,480.0
1982-10-01,1982,4,576.0
1983-01-01,1983,1,475.0
1983-04-01,1983,2,405.0
1983-07-01,1983,3,435.0
1983-10-01,1983,4,535.0
1984-01-01,1984,1,453.0
1984-04-01,1984,2,430.0
1984-07-01,1984,3,417.0
1984-10-01,1984,4,552.0
1985-01-01,1985,1,464.0
1985-04-01,1985,2,417.0
1985-07-01,1985,3,423.0
1985-10-01,1985,4,554.0
1986-01-01,1986,1,459.0
1986-04-01,1986,2,428.0
1986-07-01,1986,3,429.0
1986-10-01,1986,4,534.0
1987-01-01,1987,1,481.0
1987-04-01,1987,2,416.0
1987-07-01,1987,3,440.0
1987-10-01,1987,4,538.0
1988-01-01,1988,1,474.0
1988-04-01,1988,2,440.0
1988-07-01,1988,3,447.0
1988-10-01,1988,4,598.0
1989-01-01,1989,1,467.0
1989-04-01,1989,2,439.0
1989-07-01,1989,3,446.0
1989-10-01,1989,4,567.0
1990-01-01,1990,1,485.0
1990-04-01,1990,2,441.0
1990-07-01,1990,3,429.0
1990-10-01,1990,4,599.0
1991-01-01,1991,1,464.0
1991-04-01,1991,2,424.0
1991-07-01,1991,3,436.0
1991-10-01,1991,4,574.0
1992-01-01,1992,1,443.0
1992-04-01,1992,2,410.0
1992-07-01,1992,3,420.0
1992-10-01,1992,4,532.0
1993-01-01,1993,1,433.0
1993-04-01,1993,2,421.0
1993-07-01,1993,3,410.0
1993-10-01,1993,4,512.0
1994-01-01,1994,1,449.0
1994-04-01,1994,2,381.0
1994-07-01,1994,3,423.0
1994-10-01,1994,4,531.0
1995-01-01,1995,1,426.0
1995-04-01,1995,2,408.0
1995-07-01,1995,3,416.0
1995-10-01,1995,4,520.0
1996-01-01,1996,1,409.0
